Crop,Yield,Demand_Score,Supply_Score,Yield_log,Yield_norm,Demand_norm,Supply_norm,Total_Score
Gram,0.8802436206066442,34.6938064516129,19.200764564275396,0.6314013538754575,0.0583359415316108,0.4527427312145588,0.23952138994374694,0.28857283676964446
Turmeric,3.542426326129666,32.831832470083945,17.20649044472227,1.5134613023629737,0.15663243080536116,0.42844458488623416,0.21464366658824297,0.2885617867508631
Rapeseed &Mustard,0.8245234637378597,34.81707270581828,19.114023781428703,0.6013188371777223,0.05498355512638202,0.45435131517531185,0.23843933548686846,0.28811297129014857
Arhar/Tur,0.8861055396370582,34.182085959885384,18.427285577841452,0.634514142156226,0.05868282969989991,0.4460649475771165,0.2298725678198801,0.2821115720987787
Tobacco,2.433271388157253,32.75971905179983,16.22816213052385,1.2335135641204211,0.12543514098786615,0.4275035285626306,0.20243943602993908,0.2770642140346011
Ragi,1.1748447467527476,33.31197832603182,17.513864422411807,0.7769572811895822,0.07455664928792283,0.4347103299409422,0.2184780265233529,0.27618667244330264
Peas & beans (Pulses),1.2780942988984816,32.70558648407264,17.346513843405777,0.8233392596460446,0.07972544269664601,0.426797116408212,0.21639039906678825,0.27322009472932934
Dry chillies,1.4189372308354866,32.703745478036176,16.767998708010335,0.8833282828974616,0.08641060099080375,0.42677309188665097,0.2091736682501818,0.2716608242528939
Black pepper,1.0055162659123056,34.64336633663366,14.912107496463934,0.6959015168469396,0.06552381984821841,0.45208450435062775,0.18602221294818538,0.26834745088916895
Urad,0.5482260543760207,33.35177730809876,17.14210202709194,0.43710979446486853,0.03668414992908858,0.4352296935301084,0.2138404484020365,0.2669648867586757
Other Cereals,0.8072553981106613,33.31517206477733,15.793006072874494,0.5918093398135271,0.053923819665928116,0.43475200717818757,0.1970110488726619,0.26348998635352544
Masoor,0.7388481469849246,32.31477386934674,16.788523869346736,0.5532229095265345,0.0496237597467339,0.42169714068687164,0.20942971092783963,0.2623754925952313
Guar seed,0.8644013409961685,32.384688697318005,16.165756704980843,0.6229400047803869,0.057393011391781615,0.42260950613204856,0.20166095482852364,0.2611867866625852
Cowpea(Lobia),0.8017643410852713,32.97804651162791,14.669413953488373,0.5887663743218986,0.05358471252777822,0.4303526299029393,0.1829947139884807,0.25605588006212365
